disease,keyword,risk_level,advice,source
糖尿病,干煸,HIGH,"干煸菜大多是先在油里反复炸过的，油脂和热量严重超标，会让血糖一直居高不下，下馆子少点。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,鱼香,HIGH,"鱼香肉丝、鱼香茄子为了调味，里面放了大量的白糖和淀粉，对血糖非常不友好，建议换成清炒。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,勾芡,HIGH,"菜汤里黏糊糊的勾芡全是纯淀粉，喝下去升糖比吃白米饭还快，吃菜的时候尽量避开菜汁，别用菜汤拌饭。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,土豆丝,HIGH,"土豆是主食不是蔬菜！吃了一盘炒土豆丝，米饭就得减半，不然一顿饭吃下去全是碳水，血糖肯定飙。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,粉条,HIGH,"猪肉炖粉条虽然香，但粉条几乎全是纯纯的红薯淀粉，吃多了和吃糖没区别，血糖不稳时尽量少吃。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,无糖饼干,HIGH,"别被‘无糖’两个字骗了！饼干本身就是面粉（碳水）做的，再加上为了起酥放的油脂，吃多了血糖照样下不来。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,红糖,HIGH,"很多人觉得红糖水能‘补血补气’，其实它跟白糖一样，喝了只会让血糖狂飙，贫血应该吃点红肉，少/不喝糖水。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,糖醋,HIGH,"这道菜里加了大量的糖和淀粉，会让血糖快速飙升，建议尽量别点这道菜。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,糯米,HIGH,"糯米软糯好消化，但升糖速度非常快，对血糖控制不友好，最好换成粗粮饭。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,凤爪,HIGH,"早茶里的虎皮凤爪通常是先炸后蒸，还加了甜酱油，热量高且容易升糖，血糖高要少点。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,面条,MEDIUM,"精白面条消化快，容易让血糖波动。如果想吃，建议加点蔬菜和瘦肉一起吃，或者选全麦面。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,白粥,HIGH,"熬得越烂的粥升糖越快，喝完血糖容易‘坐过山车’，主食不如吃点干饭或燕麦。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,蛋糕,HIGH,"甜点里全都是糖和游离脂肪，对控制血糖非常不利，一定要管住嘴，别馋这一口。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,粗粮,LOW,"粗粮富含膳食纤维，不仅管饱还能让血糖平稳，平时的米饭里可以多掺点。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,拔丝,HIGH,"拔丝地瓜、拔丝苹果外面全是厚厚的糖浆，吃一口血糖就得飙高，千万别碰。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,奶茶,HIGH,"外面的奶茶哪怕说的是无糖，里面加的小料也是碳水炸弹，最好用自己泡的淡茶代替。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,蜂蜜,HIGH,"蜂蜜虽然天然，但主要成分还是糖，喝多了血糖一样受不了，泡水尽量别加。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,南瓜,MEDIUM,"老南瓜吃起来甜，升糖也不慢，如果菜里有南瓜，那米饭或者馒头就要少吃两口。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,杂粮,LOW,"黑米、糙米、燕麦这些杂粮消化得慢，能让吃完饭以后的血糖稳稳当当，推荐天天吃。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,绿叶菜,LOW,"菠菜、小白菜这些绿叶菜不仅维生素多，还能拖住糖分吸收的脚步，顿顿都不能少。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,汤圆,HIGH,"不管是黑芝麻还是花生馅的汤圆，皮是糯米、馅是糖和猪油，绝对的‘升糖炸弹’，过节最多吃一两个。","国家卫健委《成人糖尿病食养指南（2023年版）》"
糖尿病,青团,HIGH,"青团又甜又糯，升糖速度极快，哪怕是咸蛋黄肉松馅的，油脂也很高，血糖不稳时千万别碰。","国家卫健委《成人糖尿病食养指南（2023年版）》"
高血压,卤味,HIGH,"外面的卤肉、卤菜为了入味和保存，加的盐和酱油特别多，吃多了血压容易往上冲，少买现成的卤味。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,豆豉,HIGH,"豆豉酱香浓郁但含盐量极高，做菜如果放了豆豉，就千万别再加盐或者生抽了，不然这顿饭盐分绝对超标。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,椒盐,HIGH,"椒盐做法的菜表面裹满了盐粒和调料，对血管压力很大，下馆子点菜时最好避开‘椒盐’这两个字。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,挂面,MEDIUM,"买挂面时一定要看配料表，很多挂面为了劲道加了不少‘钠’（盐），就算水煮不放调料也容易超标，记得挑低钠的买。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,味精,MEDIUM,"味精和鸡精里也含有大量的钠，放多了同样会让血压升高。做菜尽量用天然食材提鲜，少放调料。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,咸鸭蛋,HIGH,"咸鸭蛋的蛋黄虽然流油好吃，但是盐分高得吓人，为了血管好，最好一口都别吃。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,榨菜,HIGH,"哪怕是就着白粥吃，榨菜里的盐也太多了，容易让血压居高不下，建议换成凉拌鲜菜。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,泡面,HIGH,"方便面调料包里全是盐和防腐剂，汤底更咸，高血压患者一定要远离这种快餐。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,虾皮,MEDIUM,"虾皮虽然补钙，但它在加工时加了很多盐，如果做菜放了虾皮，那就千万别再放盐了。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,木耳,LOW,"黑木耳被称作血管的‘清洁工’，能帮着清理血管垃圾，对降血压有辅助好处。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,豆瓣酱,HIGH,"酱料是盐的重灾区，一勺酱顶好几克盐，血压高的话做菜尽量少放。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,腐乳,HIGH,"一块小小的豆腐乳，里面含的盐可能就够一天的一半了，高血压患者最好戒掉这口。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,咸菜,HIGH,"腌制食品里隐藏的盐分（钠）太高了，吃多了血管压力大，会让血压更难控制。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,腊肉,HIGH,"腊肉又咸又肥，盐和油都严重超标，对血压非常不友好，尽量少碰。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,香肠,HIGH,"加工肉类里面‘隐形盐’特别多，吃着不咸其实盐分超标了，建议换成新鲜瘦肉。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,红薯,LOW,"薯类富含钾元素，能帮着身体把多余的钠（盐）排出去，对降血压有好处。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,芹菜,LOW,"芹菜含钾高、含钠低，膳食纤维还丰富，是高血压患者的‘好帮手’，可以多吃点。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,动物血,LOW,"猪血鸭血不仅补铁，而且几乎不含脂肪，钠含量也很低，高血压患者完全可以放心吃。","国家卫健委《成人高血压食养指南（2023年版）》"
高血压,苏打水,HIGH,"很多苏打水里含有大量的‘碳酸氢钠’，喝着不咸但其实全是钠（盐），血压高的老人家最好还是喝白开水。","国家卫健委《成人高血压食养指南（2023年版）》"
高血脂,油炸,HIGH,"油炸食物吸满了油，热量极高，经常吃会让血液变黏稠，加重血管负担。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,蟹黄,HIGH,"蟹黄虽然香，但胆固醇含量极高，血脂偏高的人一定要忍住，尽量不吃。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,红烧肉,HIGH,"这道菜虽然软烂，但满满的都是动物脂肪，吃多了血脂很难降下来，建议换成清蒸鱼。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,肥肉,HIGH,"肥肉里的饱和脂肪特别多，吃多了容易让胆固醇超标，最好换成去皮鸡鸭肉或鱼肉。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,动物内脏,HIGH,"猪肝、猪大肠等内脏胆固醇极高，血脂偏高的人一定要严格忌口，尽量别吃。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,坚果,MEDIUM,"坚果里含有健康的油脂，但热量不低，每天吃一小把就够了，千万别当瓜子一直嗑。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,深海鱼,LOW,"像带鱼、三文鱼含有对心血管好的健康脂肪，能帮着清理血管垃圾，推荐每周吃两次。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,豆腐,LOW,"豆制品里没有胆固醇，还能补充优质的植物蛋白，是代替部分肉类的好选择。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,扣肉,HIGH,"梅菜扣肉虽然入口即化，但那是肥肉和油泡出来的，血脂高的人吃几口就会让指标亮红灯。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,烧烤,HIGH,"肉类在炭火上烤会产生有害物质，而且一般都很肥腻，会加重血管的堵塞，尽量少吃。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,动物油,HIGH,"猪油、牛油炒菜确实香，但会让身体里的坏胆固醇增多，炒菜一定要认准大豆油、花生油这些植物油。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,燕麦,LOW,"燕麦里有种好东西，能把肠道里的油脂带走，早上当早饭吃最合适了。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,水煮,HIGH,"饭店里的‘水煮鱼’、‘水煮肉片’其实都是‘油煮’，表面飘着厚厚一层明油，吃一口全进血管里了，血脂高千万避开。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,干锅,HIGH,"干锅菜基本都是把食材在油锅里炸透了再端上来，越吃越油，血脂和胆固醇高的人最好点清蒸或白灼的菜。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,蛋黄酥,HIGH,"这种起酥的点心里用了大量的猪油或起酥油，不仅热量爆炸，还会让坏胆固醇升高，最好别吃。","国家卫健委《成人高脂血症食养指南（2023年版）》"
高血脂,猪脑,HIGH,"脑花里的胆固醇含量很多，吃一口顶好几天的量，血脂高的长辈绝对不能碰。","国家卫健委《成人高脂血症食养指南（2023年版）》"
痛风,海鲜,HIGH,"大部分海鲜嘌呤太高了，吃完很容易引起尿酸飙升，诱发痛风发作，一定要管住嘴。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,啤酒,HIGH,"酒精会阻碍身体排出尿酸，尤其是啤酒简直是痛风的‘催化剂’，千万别碰。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,肉汤,HIGH,"肉里的嘌呤大多都煮进汤里了，喝肉汤就等于喝嘌呤！建议只吃肉，汤最好倒掉。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,果汁,HIGH,"果糖太高也会在体内代谢成尿酸，鲜榨果汁和甜饮料都尽量别喝，多喝白开水。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,蚝油,HIGH,"蚝油是用生蚝熬出来的，嘌呤含量并不低！炒菜如果放了一大勺蚝油，可能不知不觉就让尿酸升高了。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,菠菜,MEDIUM,"菠菜里的草酸和植物嘌呤比较高，但只要在做菜前先焯水，把草酸过掉，适量吃一点也是可以的。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,蘑菇,MEDIUM,"干香菇等菌菇嘌呤较高，但只要别喝泡香菇的水，适量吃点炒蘑菇是没问题的，别天天吃就行。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,动物血,LOW,"很多人以为动物血不能吃，其实猪血、鸭血虽然是荤菜，但它们几乎不含嘌呤，痛风患者可以放心吃，还能顺便补补铁。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,动物内脏,HIGH,"猪肝、腰子、牛百叶这类内脏是‘嘌呤大户’，痛风患者绝对不能碰。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,鸡蛋,LOW,"鸡蛋不含嘌呤，是痛风患者补充优质营养的好帮手，每天吃一个完全没问题。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,牛奶,LOW,"脱脂或低脂牛奶不仅不含嘌呤，还能促进尿酸排泄，建议每天喝一杯。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,火锅汤,HIGH,"不管清汤还是辣汤，只要涮过肉和海鲜，汤里就全是嘌呤，痛风患者慎喝！","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,带鱼,HIGH,"像带鱼、沙丁鱼这些无鳞鱼或者海鱼，嘌呤很高，痛风时期千万不要吃。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,黄豆,MEDIUM,"干黄豆嘌呤比较高，但做成豆腐、豆浆后嘌呤会流失很多，适量吃点豆腐是没问题的。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,樱桃,LOW,"多吃樱桃对降尿酸有一定的好处，平时当水果吃，既解馋又健康。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,豆芽,HIGH,"很多人以为豆芽是素菜没事，其实黄豆发芽后嘌呤会成倍增加！痛风患者尽量避开黄豆芽和绿豆芽。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,芦笋,MEDIUM,"芦笋虽然嘌呤偏高，但属于植物性嘌呤，偶尔吃一次通常不会引起痛风发作，实在馋了可以少吃点。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
痛风,鱿鱼,HIGH,"鱿鱼、墨鱼虽然吃着没多少肉，但嘌呤和胆固醇双高，不仅升尿酸还伤血管，海鲜爱好者得忍痛割爱了。","国家卫健委《成人高尿酸血症与痛风食养指南（2024年版）》"
慢性胃炎,辣椒,HIGH,"辛辣的食物会直接刺激胃黏膜，胃本来就不舒服的话，吃了容易胃痛、烧心，建议吃清淡点。","中华医学会《中国慢性胃炎共识意见》"
慢性胃炎,冰水,HIGH,"老胃病最怕寒凉，冰水下肚会让胃血管收缩，引起胃痉挛，平时一定要喝温热的水。","中华医学会《中国慢性胃炎共识意见》"
慢性胃炎,韭菜,HIGH,"韭菜虽然香，但它的纤维比较粗糙，胃不好的人吃了容易不消化、反酸，尽量少吃。","中华医学会《中国慢性胃炎共识意见》"
慢性胃炎,小米粥,LOW,"熬出米油的小米粥特别养胃，好消化又不增加肠胃负担，胃不舒服的时候吃一碗最合适。","中华医学会《中国慢性胃炎共识意见》"
便秘,香蕉,MEDIUM,"很多人觉得吃香蕉通便，但如果吃的是没完全熟透的、发涩的香蕉，里面的鞣酸反而会加重便秘！记得买熟透的。","中国营养学会《中国老年人膳食指南（2022）》"
便秘,辣椒,HIGH,"吃太多辣不仅胃受不了，还会让大便变得干结难排，容易引起痔疮，肠道不通畅一定要少吃。","中国营养学会《中国老年人膳食指南（2022）》"
便秘,精白米面,MEDIUM,"天天只吃白米饭白馒头，肚子里没有足够的纤维推动肠道，容易排便困难，要掺点粗粮。","中国营养学会《中国老年人膳食指南（2022）》"
便秘,火龙果,LOW,"尤其是红心火龙果，里面的籽和果胶能像小刷子一样帮肠道蠕动，是非常好的通便水果。","中国营养学会《中国老年人膳食指南（2022）》"
便秘,黑芝麻,LOW,"黑芝麻里有健康的油脂，能起到润肠通便的作用，平时可以泡点黑芝麻糊喝。","中国营养学会《中国老年人膳食指南（2022）》"
便秘,芹菜,LOW,"芹菜里的粗纤维就像是肠道里的‘推土机’，能有效改善老年人肠胃蠕动慢的问题，让排便更顺畅。","中国营养学会《中国老年人膳食指南（2022）》"
慢性肾脏病,可乐,HIGH,"碳酸饮料里含有很多磷，肾功能不好的人排不出磷，会让骨头变脆、皮肤发痒，千万别喝。","国家卫健委《成人慢性肾脏病食养指南（2024年版）》"
慢性肾脏病,坚果,HIGH,"瓜子、花生这些坚果也是‘高磷大户’，对肾脏负担很重，肾友们最好忍住别嗑。","国家卫健委《成人慢性肾脏病食养指南（2024年版）》"
慢性肾脏病,低钠盐,HIGH,"低钠盐里面是用钾代替了钠，但肾不好的人如果排不出钾，会引起心脏危险！买盐就买普通的。","国家卫健委《成人慢性肾脏病食养指南（2024年版）》"
慢性肾脏病,杨桃,HIGH,"杨桃里含有一种神经毒素，肾不好的人排不出去，吃了甚至可能中毒，绝对不能吃！","国家卫健委《成人慢性肾脏病食养指南（2024年版）》"
慢性肾脏病,老火汤,HIGH,"熬得时间久的肉汤里有很多磷和钾，会给本就不好的肾脏增加大麻烦，尽量别喝。","国家卫健委《成人慢性肾脏病食养指南（2024年版）》"
慢性肾脏病,香蕉,MEDIUM,"香蕉含钾很高，如果您的肾功能指标里有‘高血钾’，那香蕉、橘子这些水果就要少吃了。","国家卫健委《成人慢性肾脏病食养指南（2024年版）》"
骨质疏松,浓茶,HIGH,"浓茶里的草酸和咖啡因会把身体里的钙‘偷’走，让骨头变脆，喜欢喝茶的话记得泡淡一点。","中华医学会《原发性骨质疏松症诊疗指南（2022）》"
骨质疏松,骨头汤,HIGH,"俗话说‘吃啥补啥’，但骨头汤里其实没啥钙，全都是脂肪，喝多了不补骨头只长肉。","中华医学会《原发性骨质疏松症诊疗指南（2022）》"
骨质疏松,牛奶,LOW,"牛奶是补钙的‘冠军’，不仅钙多还好吸收，每天早晚喝一杯，骨头更结实。","中国营养学会《中国老年人膳食指南（2022）》"
骨质疏松,咖啡,HIGH,"咖啡喝多了也会加速钙质的流失，老人家如果骨头已经比较脆了，这种洋饮品还是少喝为妙。","中华医学会《原发性骨质疏松症诊疗指南（2022）》"
咀嚼困难,坚果,HIGH,"牙口不好的话，硬坚果很容易卡住或者伤到牙龈，甚至有呛进气管的危险，一定要小心。","中国营养学会《中国老年人膳食指南（2022）》"
咀嚼困难,年糕,HIGH,"年糕又黏又难嚼断，老年人吃不仅不好消化，还容易噎在喉咙里发生危险，千万要当心。","中国营养学会《中国老年人膳食指南（2022）》"
咀嚼困难,肉末,LOW,"想吃肉又嚼不动，可以把瘦肉剁成肉末做成丸子或者蒸蛋，营养好吸收又不费牙。","中国营养学会《中国老年人膳食指南（2022）》"
冠心病,猪脑,HIGH,"老话说‘吃脑补脑’，但猪脑里的胆固醇含量高得吓人，吃一口顶好几天的指标，心脏不好绝对不能碰。","国家卫健委《冠心病合理膳食指南（WS/T 552-2017）》"
冠心病,肥牛,HIGH,"涮火锅时的肥牛卷、肥羊卷上白花花的都是饱和脂肪，吃多了容易让血管堵塞，建议换成鱼片或者瘦肉。","国家卫健委《冠心病合理膳食指南（WS/T 552-2017）》"
冠心病,猪油,HIGH,"猪油这类动物油会让血管里长‘垃圾’，加重心脏血管的堵塞，炒菜一定要换成植物油。","国家卫健委《冠心病合理膳食指南（WS/T 552-2017）》"
冠心病,黄油,HIGH,"很多糕点里用的黄油含有大量反式脂肪，对心脏极其不友好，买零食前记得看一眼配料表。","国家卫健委《冠心病合理膳食指南（WS/T 552-2017）》"
冠心病,杂粮,LOW,"燕麦、荞麦这些粗粮能帮着带走肠道里的坏胆固醇，保护心脏血管，每天的主食里可以加上一点。","国家卫健委《冠心病合理膳食指南（WS/T 552-2017）》"
